Smartchip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,NAS242,NAS242,NAS242,NAS242,EUS242,EUS242,EUS242,EUS242,XENOS242,XENOS242,XENOS242,XENOS242,NAS338,NAS338,NAS338,NAS338,EUS338,EUS338,EUS338,EUS338,XENOS338,XENOS338,XENOS338,XENOS338,NAS195,NAS195,NAS195,NAS195,EUS195,EUS195,EUS195,EUS195,XENOS195,XENOS195,XENOS195,XENOS195,NAS291,NAS291,NAS291,NAS291,EUS291,EUS291,EUS291,EUS291,XENOS291,XENOS291,XENOS291,XENOS291,NAS243,NAS243,NAS243,NAS243,EUS243,EUS243,EUS243,EUS243,XENOS243,XENOS243,XENOS243,XENOS243,NAS339,NAS339,NAS339,NAS339,EUS339,EUS339,EUS339,EUS339,XENOS339,XENOS339,XENOS339,XENOS339
11,NAS196,NAS196,NAS196,NAS196,EUS196,EUS196,EUS196,EUS196,XENOS196,XENOS196,XENOS196,XENOS196,NAS292,NAS292,NAS292,NAS292,EUS292,EUS292,EUS292,EUS292,XENOS292,XENOS292,XENOS292,XENOS292,NAS244,NAS244,NAS244,NAS244,EUS244,EUS244,EUS244,EUS244,XENOS244,XENOS244,XENOS244,XENOS244,NAS340,NAS340,NAS340,NAS340,EUS340,EUS340,EUS340,EUS340,XENOS340,XENOS340,XENOS340,XENOS340,NAS197,NAS197,NAS197,NAS197,EUS197,EUS197,EUS197,EUS197,XENOS197,XENOS197,XENOS197,XENOS197,NAS293,NAS293,NAS293,NAS293,EUS293,EUS293,EUS293,EUS293,XENOS293,XENOS293,XENOS293,XENOS293
12,NAS245,NAS245,NAS245,NAS245,EUS245,EUS245,EUS245,EUS245,XENOS245,XENOS245,XENOS245,XENOS245,NAS341,NAS341,NAS341,NAS341,EUS341,EUS341,EUS341,EUS341,XENOS341,XENOS341,XENOS341,XENOS341,NAS198,NAS198,NAS198,NAS198,EUS198,EUS198,EUS198,EUS198,XENOS198,XENOS198,XENOS198,XENOS198,NAS294,NAS294,NAS294,NAS294,EUS294,EUS294,EUS294,EUS294,XENOS294,XENOS294,XENOS294,XENOS294,NAS246,NAS246,NAS246,NAS246,EUS246,EUS246,EUS246,EUS246,XENOS246,XENOS246,XENOS246,XENOS246,NAS342,NAS342,NAS342,NAS342,EUS342,EUS342,EUS342,EUS342,XENOS342,XENOS342,XENOS342,XENOS342
13,NAS199,NAS199,NAS199,NAS199,EUS199,EUS199,EUS199,EUS199,XENOS199,XENOS199,XENOS199,XENOS199,NAS295,NAS295,NAS295,NAS295,EUS295,EUS295,EUS295,EUS295,XENOS295,XENOS295,XENOS295,XENOS295,NAS247,NAS247,NAS247,NAS247,EUS247,EUS247,EUS247,EUS247,XENOS247,XENOS247,XENOS247,XENOS247,NAS343,NAS343,NAS343,NAS343,EUS343,EUS343,EUS343,EUS343,XENOS343,XENOS343,XENOS343,XENOS343,NAS200,NAS200,NAS200,NAS200,EUS200,EUS200,EUS200,EUS200,XENOS200,XENOS200,XENOS200,XENOS200,NAS296,NAS296,NAS296,NAS296,EUS296,EUS296,EUS296,EUS296,XENOS296,XENOS296,XENOS296,XENOS296
14,NAS248,NAS248,NAS248,NAS248,EUS248,EUS248,EUS248,EUS248,XENOS248,XENOS248,XENOS248,XENOS248,NAS344,NAS344,NAS344,NAS344,EUS344,EUS344,EUS344,EUS344,XENOS344,XENOS344,XENOS344,XENOS344,NAS201,NAS201,NAS201,NAS201,EUS201,EUS201,EUS201,EUS201,XENOS201,XENOS201,XENOS201,XENOS201,NAS297,NAS297,NAS297,NAS297,EUS297,EUS297,EUS297,EUS297,XENOS297,XENOS297,XENOS297,XENOS297,NAS249,NAS249,NAS249,NAS249,EUS249,EUS249,EUS249,EUS249,XENOS249,XENOS249,XENOS249,XENOS249,NAS345,NAS345,NAS345,NAS345,EUS345,EUS345,EUS345,EUS345,XENOS345,XENOS345,XENOS345,XENOS345
15,NAS202,NAS202,NAS202,NAS202,EUS202,EUS202,EUS202,EUS202,XENOS202,XENOS202,XENOS202,XENOS202,NAS298,NAS298,NAS298,NAS298,EUS298,EUS298,EUS298,EUS298,XENOS298,XENOS298,XENOS298,XENOS298,NAS250,NAS250,NAS250,NAS250,EUS250,EUS250,EUS250,EUS250,XENOS250,XENOS250,XENOS250,XENOS250,NAS346,NAS346,NAS346,NAS346,EUS346,EUS346,EUS346,EUS346,XENOS346,XENOS346,XENOS346,XENOS346,NAS203,NAS203,NAS203,NAS203,EUS203,EUS203,EUS203,EUS203,XENOS203,XENOS203,XENOS203,XENOS203,NAS299,NAS299,NAS299,NAS299,EUS299,EUS299,EUS299,EUS299,XENOS299,XENOS299,XENOS299,XENOS299
16,NAS251,NAS251,NAS251,NAS251,EUS251,EUS251,EUS251,EUS251,XENOS251,XENOS251,XENOS251,XENOS251,NAS347,NAS347,NAS347,NAS347,EUS347,EUS347,EUS347,EUS347,XENOS347,XENOS347,XENOS347,XENOS347,NAS204,NAS204,NAS204,NAS204,EUS204,EUS204,EUS204,EUS204,XENOS204,XENOS204,XENOS204,XENOS204,NAS300,NAS300,NAS300,NAS300,EUS300,EUS300,EUS300,EUS300,XENOS300,XENOS300,XENOS300,XENOS300,NAS252,NAS252,NAS252,NAS252,EUS252,EUS252,EUS252,EUS252,XENOS252,XENOS252,XENOS252,XENOS252,NAS348,NAS348,NAS348,NAS348,EUS348,EUS348,EUS348,EUS348,XENOS348,XENOS348,XENOS348,XENOS348
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NAS13,NAS13,NAS13,NAS13,EUS13,EUS13,EUS13,EUS13,XENOS13,XENOS13,XENOS13,XENOS13,NAS109,NAS109,NAS109,NAS109,EUS109,EUS109,EUS109,EUS109,XENOS109,XENOS109,XENOS109,XENOS109,NAS61,NAS61,NAS61,NAS61,EUS61,EUS61,EUS61,EUS61,XENOS61,XENOS61,XENOS61,XENOS61,NAS157,NAS157,NAS157,NAS157,EUS157,EUS157,EUS157,EUS157,XENOS157,XENOS157,XENOS157,XENOS157,NAS14,NAS14,NAS14,NAS14,EUS14,EUS14,EUS14,EUS14,XENOS14,XENOS14,XENOS14,XENOS14,NAS110,NAS110,NAS110,NAS110,EUS110,EUS110,EUS110,EUS110,XENOS110,XENOS110,XENOS110,XENOS110
19,NAS62,NAS62,NAS62,NAS62,EUS62,EUS62,EUS62,EUS62,XENOS62,XENOS62,XENOS62,XENOS62,NAS158,NAS158,NAS158,NAS158,EUS158,EUS158,EUS158,EUS158,XENOS158,XENOS158,XENOS158,XENOS158,NAS15,NAS15,NAS15,NAS15,EUS15,EUS15,EUS15,EUS15,XENOS15,XENOS15,XENOS15,XENOS15,NAS111,NAS111,NAS111,NAS111,EUS111,EUS111,EUS111,EUS111,XENOS111,XENOS111,XENOS111,XENOS111,NAS63,NAS63,NAS63,NAS63,EUS63,EUS63,EUS63,EUS63,XENOS63,XENOS63,XENOS63,XENOS63,NAS159,NAS159,NAS159,NAS159,EUS159,EUS159,EUS159,EUS159,XENOS159,XENOS159,XENOS159,XENOS159
20,NAS16,NAS16,NAS16,NAS16,EUS16,EUS16,EUS16,EUS16,XENOS16,XENOS16,XENOS16,XENOS16,NAS112,NAS112,NAS112,NAS112,EUS112,EUS112,EUS112,EUS112,XENOS112,XENOS112,XENOS112,XENOS112,NAS64,NAS64,NAS64,NAS64,EUS64,EUS64,EUS64,EUS64,XENOS64,XENOS64,XENOS64,XENOS64,NAS160,NAS160,NAS160,NAS160,EUS160,EUS160,EUS160,EUS160,XENOS160,XENOS160,XENOS160,XENOS160,NAS17,NAS17,NAS17,NAS17,EUS17,EUS17,EUS17,EUS17,XENOS17,XENOS17,XENOS17,XENOS17,NAS113,NAS113,NAS113,NAS113,EUS113,EUS113,EUS113,EUS113,XENOS113,XENOS113,XENOS113,XENOS113
21,NAS65,NAS65,NAS65,NAS65,EUS65,EUS65,EUS65,EUS65,XENOS65,XENOS65,XENOS65,XENOS65,NAS161,NAS161,NAS161,NAS161,EUS161,EUS161,EUS161,EUS161,XENOS161,XENOS161,XENOS161,XENOS161,NAS18,NAS18,NAS18,NAS18,EUS18,EUS18,EUS18,EUS18,XENOS18,XENOS18,XENOS18,XENOS18,NAS114,NAS114,NAS114,NAS114,EUS114,EUS114,EUS114,EUS114,XENOS114,XENOS114,XENOS114,XENOS114,NAS66,NAS66,NAS66,NAS66,EUS66,EUS66,EUS66,EUS66,XENOS66,XENOS66,XENOS66,XENOS66,NAS162,NAS162,NAS162,NAS162,EUS162,EUS162,EUS162,EUS162,XENOS162,XENOS162,XENOS162,XENOS162
22,NAS19,NAS19,NAS19,NAS19,EUS19,EUS19,EUS19,EUS19,XENOS19,XENOS19,XENOS19,XENOS19,NAS115,NAS115,NAS115,NAS115,EUS115,EUS115,EUS115,EUS115,XENOS115,XENOS115,XENOS115,XENOS115,NAS67,NAS67,NAS67,NAS67,EUS67,EUS67,EUS67,EUS67,XENOS67,XENOS67,XENOS67,XENOS67,NAS163,NAS163,NAS163,NAS163,EUS163,EUS163,EUS163,EUS163,XENOS163,XENOS163,XENOS163,XENOS163,NAS20,NAS20,NAS20,NAS20,EUS20,EUS20,EUS20,EUS20,XENOS20,XENOS20,XENOS20,XENOS20,NAS116,NAS116,NAS116,NAS116,EUS116,EUS116,EUS116,EUS116,XENOS116,XENOS116,XENOS116,XENOS116
23,NAS68,NAS68,NAS68,NAS68,EUS68,EUS68,EUS68,EUS68,XENOS68,XENOS68,XENOS68,XENOS68,NAS164,NAS164,NAS164,NAS164,EUS164,EUS164,EUS164,EUS164,XENOS164,XENOS164,XENOS164,XENOS164,NAS21,NAS21,NAS21,NAS21,EUS21,EUS21,EUS21,EUS21,XENOS21,XENOS21,XENOS21,XENOS21,NAS117,NAS117,NAS117,NAS117,EUS117,EUS117,EUS117,EUS117,XENOS117,XENOS117,XENOS117,XENOS117,NAS69,NAS69,NAS69,NAS69,EUS69,EUS69,EUS69,EUS69,XENOS69,XENOS69,XENOS69,XENOS69,NAS165,NAS165,NAS165,NAS165,EUS165,EUS165,EUS165,EUS165,XENOS165,XENOS165,XENOS165,XENOS165
24,NAS22,NAS22,NAS22,NAS22,EUS22,EUS22,EUS22,EUS22,XENOS22,XENOS22,XENOS22,XENOS22,NAS118,NAS118,NAS118,NAS118,EUS118,EUS118,EUS118,EUS118,XENOS118,XENOS118,XENOS118,XENOS118,NAS70,NAS70,NAS70,NAS70,EUS70,EUS70,EUS70,EUS70,XENOS70,XENOS70,XENOS70,XENOS70,NAS166,NAS166,NAS166,NAS166,EUS166,EUS166,EUS166,EUS166,XENOS166,XENOS166,XENOS166,XENOS166,NAS23,NAS23,NAS23,NAS23,EUS23,EUS23,EUS23,EUS23,XENOS23,XENOS23,XENOS23,XENOS23,NAS119,NAS119,NAS119,NAS119,EUS119,EUS119,EUS119,EUS119,XENOS119,XENOS119,XENOS119,XENOS119
