,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,G1 #24 D4,S338,S338,S338,S338,S338,S338,S338,S338,S338,S338,S338,S338,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,G1 #73 D0,S291,S291,S291,S291,S291,S291,S291,S291,S291,S291,S291,S291,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,G1 #24 D7,S339,S339,S339,S339,S339,S339,S339,S339,S339,S339,S339,S339
11,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,G2 #31 D0,S292,S292,S292,S292,S292,S292,S292,S292,S292,S292,S292,S292,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,G1 #24 D14,S340,S340,S340,S340,S340,S340,S340,S340,S340,S340,S340,S340,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,G2 #40 D0,S293,S293,S293,S293,S293,S293,S293,S293,S293,S293,S293,S293
12,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,G1 #24 D28,S341,S341,S341,S341,S341,S341,S341,S341,S341,S341,S341,S341,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,G2 #81 D0,S294,S294,S294,S294,S294,S294,S294,S294,S294,S294,S294,S294,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,G1 #24 D35,S342,S342,S342,S342,S342,S342,S342,S342,S342,S342,S342,S342
13,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,G6 #12 D2,S295,S295,S295,S295,S295,S295,S295,S295,S295,S295,S295,S295,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,G7 #22 D2,S343,S343,S343,S343,S343,S343,S343,S343,S343,S343,S343,S343,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,G6 #12 D4,S296,S296,S296,S296,S296,S296,S296,S296,S296,S296,S296,S296
14,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,G7 #22 D4,S344,S344,S344,S344,S344,S344,S344,S344,S344,S344,S344,S344,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,G6 #12 D7,S297,S297,S297,S297,S297,S297,S297,S297,S297,S297,S297,S297,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,G7 #22 D7,S345,S345,S345,S345,S345,S345,S345,S345,S345,S345,S345,S345
15,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,G6 #12 D14,S298,S298,S298,S298,S298,S298,S298,S298,S298,S298,S298,S298,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,G7 #22 D14,S346,S346,S346,S346,S346,S346,S346,S346,S346,S346,S346,S346,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,G6 #12 D28,S299,S299,S299,S299,S299,S299,S299,S299,S299,S299,S299,S299
16,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,G7 #22 D28,S347,S347,S347,S347,S347,S347,S347,S347,S347,S347,S347,S347,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,G6 #12 D35,S300,S300,S300,S300,S300,S300,S300,S300,S300,S300,S300,S300,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,G7 #6 D35,S348,S348,S348,S348,S348,S348,S348,S348,S348,S348,S348,S348
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,G2 #40 D2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,G4 #74 D2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4,G2 #40 D4
19,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,G4 #74 D4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,G2 #40 D7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7,G4 #74 D7
20,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,G2 #40 D14,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,G4 #74 D14,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28,G2 #40 D28
21,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,G4 #74 D28,3,3,3,3,3,3,3,3,3,3,3,3,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,G2 #40 D35,7,7,7,7,7,7,7,7,7,7,7,7,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35,G4 #74 D35
22,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,G3 #18 D2,A6,A6,A6,A6,A6,A6,A6,A6,A6,A6,A6,A6,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,G5 #59 D2,0,0,0,0,0,0,0,0,0,0,0,0,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4,G3 #18 D4
